Quadrat Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GPS Coordnates,,Substrate,,,Species,,,,,,,,,,,,,,,,,,Species,,,,,Percent
Site,QuadratNumber,Zonation,Latitude,Longitude,Algae,BareRock,Barnacle,Hermit_Crab,Limpet,Brittle_Star,Leptasterias_spp,Evasterias_spp,Worms_unk,Tubeworm,Kelp_Crab,Hemigrapsis_spp,Porcelain_Crab,Rock_Crab,Mytilus_spp,Clam,Pacific_Oyster,Rock_Scallop,Mossy_Chiton,Hairy_Chiton,Lined_Chiton,Green_Urchin,Amphipod,Sea_Cucumbers,Bittium_spp,Pink_Sponge,Nucella_spp
1,1,3,-123.03023,48.5931,75,0,25,1,16,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,2,7,0,3,0,0.75
1,2,2,-123.03023,48.59317,25,50,25,0,11,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0.5
2,1,3,-123.0303,48.59317,75,25,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
2,2,3,-123.0303,48.5931,100,25,0,2,9,0,0,0,0,0,2,0,0,0,4,0,0,0,2,2,0,0,0,0,0,2,0
3,1,2,-123.0342,48.5922,100,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,20,0,0.75
3,2,2,-123.0342,48.5921,100,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
4,1,3,-123.0299,48.5931,75,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,2,3,-123.0341,49.5914,100,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,1,3,-123.032,48.5912,25,0,25,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
5,2,3,-123.0318,48.5912,0,100,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
6,1,3,-123.0342,48.5921,75,25,0,0,1,0,14,1,1,4,0,0,0,0,0,4,0,1,0,0,1,0,15,3,0,1,14
6,2,3,-123.0333,48.5908,50,25,25,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0.1
7,1,3,-123.0301,48.5919,50,50,25,1,25,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,4
7,2,3,-123.0301,48.5919,75,25,25,0,25,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
8,1,3,-123.0288,48.5927,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0
8,2,3,-123.0285,48.5927,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
